,Rk,Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
400,386,Unai Simón,GK,es Spain,27-024,1997,3.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0.0,Matches
401,387,Xavi Simons,"MF,FW",nl Netherlands,21-075,2003,3.1,0,0,0,3,5,0,5,3,3,0,0,0,9,1,1,50.0,Matches
402,388,Michał Skóraś,DF,pl Poland,24-141,2000,0.3,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,,Matches
403,389,Łukasz Skorupski,GK,pl Poland,33-061,1991,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
404,390,Andreas Skov Olsen,"MF,FW",dk Denmark,24-189,1999,1.4,0,0,0,2,1,0,3,0,1,0,0,0,5,0,3,0.0,Matches
405,391,Milan Škriniar,DF,sk Slovakia,29-145,1995,4.3,1,0,0,3,7,0,0,2,1,0,0,0,15,6,7,46.2,Matches
406,392,Bartosz Slisz,MF,pl Poland,25-098,1999,1.2,1,0,0,3,2,0,0,2,1,0,0,0,2,3,1,75.0,Matches
407,393,Yann Sommer,GK,ch Switzerland,35-201,1988,4.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,Matches
408,394,Deian Sorescu,"MF,DF",ro Romania,26-311,1997,0.4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0.0,Matches
409,395,Borna Sosa,DF,hr Croatia,26-166,1998,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Matches
410,396,Tomáš Souček,MF,cz Czechia,29-129,1995,3.0,2,0,0,7,4,0,2,3,3,0,0,0,15,7,6,53.8,Matches
411,397,Andraž Šporar,FW,si Slovenia,30-129,1994,3.8,0,0,0,2,6,4,5,0,2,0,0,0,5,6,13,31.6,Matches
412,398,Nicolae Stanciu,"MF,FW",ro Romania,31-059,1993,3.9,1,0,0,2,4,0,8,1,2,0,0,0,7,0,1,0.0,Matches
413,399,Jindřich Staněk,GK,cz Czechia,28-069,1996,2.6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches
414,400,Josip Stanišić,DF,hr Croatia,24-094,2000,2.0,1,0,0,1,0,0,4,4,8,0,0,0,4,3,3,50.0,Matches
416,401,Renato Steffen,DF,ch Switzerland,32-245,1991,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
417,402,Taras Stepanenko,MF,ua Ukraine,34-332,1989,0.9,0,0,0,0,0,0,1,1,3,0,0,0,4,4,1,80.0,Matches
418,403,Leonidas Stergiou,DF,ch Switzerland,22-124,2002,0.5,0,0,0,2,0,0,0,0,2,0,0,0,0,1,3,25.0,Matches
419,404,Petar Stojanović,MF,si Slovenia,28-272,1995,3.5,1,0,0,3,2,0,1,1,5,0,0,0,17,3,3,50.0,Matches
420,405,John Stones,DF,eng England,30-038,1994,4.3,0,0,0,2,2,0,0,1,2,0,0,0,10,8,5,61.5,Matches
421,406,Thomas Strakosha,GK,al Albania,29-108,1995,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
422,407,Dávid Strelec,FW,sk Slovakia,23-092,2001,2.0,0,0,0,3,1,1,0,0,0,0,0,0,6,6,4,60.0,Matches
423,408,Callum Styles,MF,hu Hungary,24-099,2000,0.7,1,0,0,1,1,0,0,1,0,0,0,0,3,1,3,25.0,Matches
424,409,Luka Sučić,"FW,MF",hr Croatia,21-301,2002,1.6,1,0,0,1,1,0,2,1,0,0,0,0,5,1,1,50.0,Matches
425,410,Heorhiy Sudakov,MF,ua Ukraine,21-308,2002,2.9,0,0,0,3,2,0,5,0,1,0,0,0,11,2,3,40.0,Matches
426,411,Pavel Šulc,MF,cz Czechia,23-189,2000,0.9,0,0,0,1,1,0,0,1,1,0,0,0,4,4,2,66.7,Matches
427,412,Tomáš Suslov,"FW,MF",sk Slovakia,22-028,2002,1.4,1,0,0,1,3,0,12,1,1,0,0,0,6,0,1,0.0,Matches
428,413,Josip Šutalo,DF,hr Croatia,24-128,2000,3.0,0,0,0,6,5,0,0,13,3,0,0,0,13,3,2,60.0,Matches
429,414,Oleksandr Svatok,DF,ua Ukraine,29-282,1994,0.9,0,0,0,2,0,0,0,3,0,0,0,0,1,0,0,,Matches
430,415,Karol Świderski,FW,pl Poland,27-164,1997,1.0,1,0,0,2,2,1,3,0,0,1,0,0,2,0,2,0.0,Matches
431,416,Serhiy Sydorchuk,MF,ua Ukraine,33-064,1991,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
432,417,Attila Szalai,DF,hu Hungary,26-167,1998,1.1,1,0,0,2,1,0,1,2,2,0,0,0,3,3,1,75.0,Matches
433,418,Wojciech Szczęsny,GK,pl Poland,34-078,1990,2.0,1,0,0,1,0,0,0,0,0,0,1,0,4,0,0,,Matches
434,419,Dominik Szoboszlai,MF,hu Hungary,23-254,2000,3.0,1,0,0,1,2,0,16,2,0,0,0,0,12,0,5,0.0,Matches
435,420,Sebastian Szymański,MF,pl Poland,25-056,1999,1.2,0,0,0,2,3,0,3,3,2,0,0,0,5,0,1,0.0,Matches
436,421,Dušan Tadić,MF,rs Serbia,35-228,1988,1.7,1,0,0,1,4,0,14,1,2,0,0,0,6,1,3,25.0,Matches
437,422,Jonathan Tah,DF,de Germany,28-145,1996,2.7,2,0,0,5,2,1,0,4,0,0,0,0,7,5,2,71.4,Matches
438,423,Maksym Talovierov,MF,ua Ukraine,24-007,2000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
439,424,Aurélien Tchouaméni,MF,fr France,24-160,2000,2.9,1,0,0,3,4,0,6,2,3,0,0,0,12,3,2,60.0,Matches
440,425,Arthur Theate,DF,be Belgium,24-041,2000,2.8,0,0,0,1,0,0,2,2,2,0,0,0,10,7,5,58.3,Matches
442,426,Marcus Thuram,FW,fr France,26-334,1997,2.5,0,0,0,3,3,2,0,0,2,0,0,0,6,9,4,69.2,Matches
443,427,Youri Tielemans,MF,be Belgium,27-059,1997,1.6,1,0,0,3,1,0,3,1,2,0,0,0,5,0,2,0.0,Matches
444,428,Kieran Tierney,DF,sct Scotland,27-030,1997,1.5,0,0,0,0,2,0,2,0,1,0,0,0,4,1,0,100.0,Matches
445,429,Ivan Toney,FW,eng England,28-111,1996,0.3,0,0,0,2,3,0,0,0,1,0,0,0,2,4,0,100.0,Matches
446,430,Ferrán Torres,FW,es Spain,24-127,2000,1.1,0,0,0,2,1,0,5,1,0,0,0,0,6,2,1,66.7,Matches
447,431,Cenk Tosun,FW,tr Türkiye,33-028,1991,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
448,432,Gernot Trauner,DF,at Austria,32-102,1992,1.0,0,0,0,2,0,0,0,1,1,0,0,0,6,2,1,66.7,Matches
449,433,Kieran Trippier,DF,eng England,33-290,1990,3.6,1,0,0,0,4,1,10,4,1,0,0,0,21,6,2,75.0,Matches
450,434,Leandro Trossard,FW,be Belgium,29-214,1994,1.9,0,0,0,1,4,1,3,0,1,0,0,0,13,1,0,100.0,Matches
451,435,Anatolii Trubin,GK,ua Ukraine,22-339,2001,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
452,436,Heorhii Tsitaishvili,"DF,MF",ge Georgia,23-230,2000,2.1,0,0,0,1,3,0,11,0,4,0,0,0,4,0,2,0.0,Matches
453,437,Viktor Tsyhankov,FW,ua Ukraine,26-233,1997,0.7,0,0,0,0,1,0,5,0,0,0,0,0,1,0,0,,Matches
454,438,Ľubomír Tupta,MF,sk Slovakia,26-100,1998,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Matches
455,439,Oleksandr Tymchyk,DF,ua Ukraine,27-167,1997,2.2,0,0,0,1,3,0,8,3,4,0,0,0,7,1,0,100.0,Matches
456,440,Deniz Undav,MF,de Germany,27-352,1996,0.1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,Matches
457,441,Dayot Upamecano,DF,fr France,25-252,1998,4.0,0,0,0,2,2,0,0,4,5,0,1,0,16,7,2,77.8,Matches
458,442,Kacper Urbanski,"FW,MF",pl Poland,19-302,2004,1.6,0,0,0,3,1,1,1,1,1,0,0,0,4,1,2,33.3,Matches
459,443,Virgil van Dijk,DF,nl Netherlands,32-363,1991,4.0,0,0,0,10,3,0,0,1,1,0,0,0,8,12,1,92.3,Matches
460,444,Vladyslav Vanat,FW,ua Ukraine,22-183,2002,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
461,445,Barnabás Varga,FW,hu Hungary,30-162,1994,2.8,1,0,0,2,4,4,0,1,1,0,0,0,4,15,14,51.7,Matches
462,446,Ruben Vargas,"MF,FW",ch Switzerland,25-335,1998,2.7,0,0,0,2,2,2,12,2,2,0,0,0,10,3,5,37.5,Matches
463,447,Denis Vavro,DF,sk Slovakia,28-086,1996,4.3,1,0,0,1,2,1,3,2,1,0,0,0,20,11,1,91.7,Matches
464,448,Joey Veerman,MF,nl Netherlands,25-229,1998,1.5,1,0,0,1,0,0,7,0,1,0,0,0,11,2,0,100.0,Matches
465,449,Miloš Veljković,DF,rs Serbia,28-283,1995,3.0,0,0,0,1,1,0,2,0,0,0,0,0,10,5,7,41.7,Matches
466,450,Micky van de Ven,DF,nl Netherlands,23-077,2001,0.6,0,0,0,0,2,0,1,0,0,0,0,0,2,1,2,33.3,Matches
468,451,Benjamin Verbič,MF,si Slovenia,30-221,1993,0.8,0,0,0,1,1,1,1,1,2,0,0,0,2,2,3,40.0,Matches
469,452,Bart Verbruggen,GK,nl Netherlands,21-322,2002,4.0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,,Matches
470,453,Jan Vertonghen,DF,be Belgium,37-072,1987,3.0,1,0,0,2,1,0,0,0,2,0,0,1,8,6,2,75.0,Matches
471,454,Jannik Vestergaard,DF,dk Denmark,31-337,1992,4.0,1,0,0,4,3,0,0,4,3,0,0,0,18,14,8,63.6,Matches
472,455,Žan Vipotnik,FW,si Slovenia,22-109,2002,0.2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,100.0,Matches
473,456,Vitinha,MF,pt Portugal,24-143,2000,2.7,0,0,0,0,7,0,12,2,2,0,0,0,19,0,0,,Matches
474,457,Daniel Vivian,DF,es Spain,24-356,1999,1.0,1,0,0,1,1,0,0,1,2,0,0,0,6,1,1,50.0,Matches
475,458,Dušan Vlahović,"MF,FW",rs Serbia,24-159,2000,2.0,0,0,0,3,1,0,0,1,0,0,0,0,2,2,3,40.0,Matches
476,459,Stefan de Vrij,DF,nl Netherlands,32-151,1992,4.0,0,0,0,3,0,0,0,1,5,0,0,0,13,11,4,73.3,Matches
477,460,Kyle Walker,DF,eng England,34-038,1990,4.3,0,0,0,2,1,0,2,2,0,0,0,0,18,4,3,57.1,Matches
478,461,Ollie Watkins,FW,eng England,28-188,1995,0.2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,25.0,Matches
479,462,Wout Weghorst,FW,nl Netherlands,31-333,1992,0.5,0,0,0,1,2,1,0,0,0,0,0,0,2,6,4,60.0,Matches
480,463,Andreas Weimann,FW,at Austria,32-335,1991,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
481,464,Silvan Widmer,DF,ch Switzerland,31-122,1993,2.7,2,0,0,4,1,2,3,2,0,0,0,0,7,1,5,16.7,Matches
482,465,Georginio Wijnaldum,MF,nl Netherlands,33-237,1990,0.8,0,0,0,0,2,0,0,0,0,0,0,0,1,3,0,100.0,Matches
483,466,Nico Williams,FW,es Spain,21-359,2002,2.6,0,0,0,4,1,1,15,0,1,0,0,0,9,1,1,50.0,Matches
484,467,Patrick Wimmer,"FW,MF",at Austria,23-036,2001,1.5,2,0,0,4,3,0,8,0,2,0,0,0,10,1,2,33.3,Matches
485,468,Jonas Wind,FW,dk Denmark,25-149,1999,2.1,1,0,0,3,4,1,1,0,0,0,0,0,3,5,5,50.0,Matches
486,469,Florian Wirtz,FW,de Germany,21-063,2003,2.3,0,0,0,3,1,2,3,0,2,0,0,0,13,0,3,0.0,Matches
487,470,Maximilian Wöber,DF,at Austria,26-152,1998,1.9,1,0,0,2,0,0,3,4,3,0,0,1,12,6,5,54.5,Matches
488,471,Granit Xhaka,MF,ch Switzerland,31-282,1992,4.0,1,0,0,6,3,0,1,1,3,0,0,0,19,4,2,66.7,Matches
489,472,Lamine Yamal,FW,es Spain,16-358,2007,2.9,0,0,0,5,3,2,16,1,3,0,0,0,7,0,0,,Matches
490,473,Roman Yaremchuk,FW,ua Ukraine,28-221,1995,1.3,1,0,0,5,2,2,0,0,0,0,0,0,5,2,4,33.3,Matches
491,474,Andriy Yarmolenko,"FW,MF",ua Ukraine,34-256,1989,1.2,0,0,0,2,2,2,5,1,2,0,0,0,4,1,0,100.0,Matches
492,475,Yusuf Yazıcı,"MF,FW",tr Türkiye,27-158,1997,0.6,0,0,0,1,0,0,0,0,1,0,0,0,4,1,1,50.0,Matches
494,476,Kenan Yıldız,FW,tr Türkiye,19-062,2005,3.0,1,0,0,1,1,1,2,0,2,0,0,0,10,3,5,37.5,Matches
495,477,Okay Yokuşlu,MF,tr Türkiye,30-118,1994,0.5,0,0,0,0,1,0,0,1,1,0,0,0,4,1,1,50.0,Matches
496,478,İsmail Yüksek,MF,tr Türkiye,25-161,1999,1.7,2,0,0,3,4,0,0,1,2,0,0,0,13,2,4,33.3,Matches
497,479,Illia Zabarnyi,DF,ua Ukraine,21-308,2002,3.0,0,0,0,2,0,0,0,1,3,0,0,0,10,3,1,75.0,Matches
498,480,Mattia Zaccagni,"MF,FW",it Italy,29-019,1995,0.9,0,0,0,0,3,0,5,1,0,0,0,0,5,2,1,66.7,Matches
499,481,Nicola Zalewski,DF,pl Poland,22-164,2002,2.7,1,0,0,3,6,0,10,2,1,0,0,0,17,0,0,,Matches
500,482,Piotr Zieliński,MF,pl Poland,30-046,1994,2.8,0,0,0,1,1,0,11,2,0,0,0,0,14,1,0,100.0,Matches
501,483,Oleksandr Zinchenko,DF,ua Ukraine,27-203,1996,2.4,0,0,0,0,1,0,4,1,5,0,0,0,13,7,6,53.8,Matches
502,484,Andrija Živković,DF,rs Serbia,27-360,1996,2.7,0,0,0,1,0,1,13,0,2,0,0,0,12,0,6,0.0,Matches
503,485,Budu Zivzivadze,"FW,MF",ge Georgia,30-117,1994,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,Matches
504,486,Steven Zuber,MF,ch Switzerland,32-323,1991,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
505,487,Martín Zubimendi,MF,es Spain,25-154,1999,1.1,0,0,0,4,0,0,0,0,2,0,0,0,2,1,1,50.0,Matches
506,488,Oleksandr Zubkov,FW,ua Ukraine,27-337,1996,0.3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,,Matches
